Code,Date,Open,High,Low,Close,Volume,Value,Trades
SE1,28/02/2020,0.008,0.008,0.008,0.008,1475000,11800.000,7
SE1,02/03/2020,0.009,0.011,0.008,0.008,1152624,10594.507,11
SE1,03/03/2020,0.008,0.008,0.008,0.008,2588955,20711.640,12
SE1,04/03/2020,0.009,0.011,0.009,0.009,3043938,29048.051,25
SE1,05/03/2020,0.009,0.016,0.009,0.015,12937252,170367.989,106
SE1,06/03/2020,0.014,0.015,0.014,0.014,4189032,59646.448,30
SE1,09/03/2020,0.014,0.014,0.010,0.011,1725962,18955.400,15
SE1,10/03/2020,0.011,0.012,0.010,0.010,2170758,23628.380,18
SE1,11/03/2020,0.011,0.012,0.010,0.010,3200686,34032.703,23
SE1,12/03/2020,0.009,0.009,0.009,0.009,2197435,19776.915,12
SE1,13/03/2020,0.008,0.009,0.007,0.009,3069318,22964.483,16
SE1,16/03/2020,0.008,0.009,0.008,0.009,413250,3469.250,2
SE1,17/03/2020,0.007,0.008,0.007,0.008,1108234,8257.472,6
SE1,18/03/2020,0.007,0.007,0.006,0.006,3352909,22186.696,13
SE1,19/03/2020,0.006,0.006,0.005,0.005,3139020,16820.100,19
SE1,20/03/2020,0.006,0.006,0.004,0.006,7262600,39517.744,33
SE1,23/03/2020,0.005,0.005,0.004,0.004,2458667,11234.668,16
SE1,24/03/2020,0.004,0.004,0.004,0.004,946000,3784.000,8
SE1,25/03/2020,0.004,0.005,0.004,0.004,2599429,11197.716,16
SE1,26/03/2020,0.003,0.004,0.002,0.004,13099929,39107.089,52
SE1,27/03/2020,0.004,0.004,0.003,0.004,2238584,8915.752,6
SE1,30/03/2020,0.004,0.004,0.004,0.004,350000,1400.000,1
SE1,31/03/2020,0.004,0.004,0.004,0.004,555000,2220.000,2
SE1,01/04/2020,0.004,0.004,0.003,0.003,185000,655.000,4
SE1,02/04/2020,0.000,0.000,0.000,0.003,0,0.000,0
